trigger,trigger_description,created_at,updated_at
bad image quality,"The image is too low in quality (e.g., blurry, pixelated, grainy, noisy, or poorly lit) to confidently identify important visual details.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
cannot read text confidently,"Visible text is partially obscured, too small, distorted, or otherwise unreadable, making it impossible to transcribe or describe with confidence.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
possible person misidentification,"The image may contain one or more people, but their identity, appearance, or even whether they are people cannot be determined with confidence.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
highly abstract artwork,"The artwork is primarily abstract or non-representational, making it difficult to identify concrete subjects beyond colors, shapes, textures, or composition.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
complex image with mixed media,"The artwork combines multiple artistic media or overlapping visual elements (e.g., photography, collage, painting, illustration, typography) that make accurate description difficult.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
possible symbolic interpretation,The artwork may contain symbolic or metaphorical imagery whose meaning cannot be described confidently from visible content alone.,2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
cultural or historical reference needed,"The artwork appears to contain cultural, historical, political, or religious references that may require additional context or human expertise to describe accurately.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
sensitive or indecent content,"The artwork contains or may contain sensitive content such as nudity, violence, self-harm, hate symbols, or other imagery that requires careful human review.",2026-07-03 18:21:31.742,2026-07-03 18:21:31.742
unclear visual focus,"The artwork contains multiple competing visual elements, making it difficult to determine which elements or features should be prioritized in the description.",2026-07-07 09:52:59.282,2026-07-07 09:52:59.282
unnecessary skin color detail,"The generated text added a description of the color of the subject's skin, which is not typically noted.",2026-07-07 15:45:14.897,2026-07-07 15:45:14.897
ambiguous main visual element,"One or more important visual elements cannot be confidently identified or could reasonably be interpreted in multiple ways, making a precise description uncertain.",2026-07-08 14:57:15.667,2026-07-08 14:57:15.667
