id,release_id,reviewed_at,decision,model_alt_text,model_confidence,model_confidence_explanation,model_review_triggers,final_alt_text,final_confidence,final_confidence_explanation,final_review_triggers
730,9547db3d-62c5-4ab1-af74-fdd29913190f,2026-07-12 14:55:46.586,deny,"A hand-drawn monochrome sketch depicts a dinosaur, an owl, and a musician with a guitar gathered around a small fire, all rendered in loose pencil lines.",0,"The image quality is too low-resolution to confidently identify details like the type of animal (e.g., whether the dinosaur is T. rex), precise posture of figures, or distinguish some elements due to faint line work and blur; key visual components are partially ambiguous.","[""bad image quality"", ""ambiguous main visual element""]","Hand-drawn pencil sketch of a dinosaur, owl, bird, and duck-like animal with a guitar gathered around a small fire",0,Key visual components are ambiguous.,"[""ambiguous main visual element"", ""bad image quality""]"
642,4b1c3b51-8f4d-49f7-aa36-40aa9054398c,2026-07-11 17:20:15.514,deny,"Album cover with bare tree branches in dark purple against a white background, framed by a solid maroon border. ""PHAROAH"" appears in large serif font at top; ""PHAROAH SANDERS"" is centered below the branches in smaller text.",1,,,"Bare tree branches in dark purple against a white background, framed by a solid maroon border. Text ""PHAROAH"" & ""PHAROAH SANDERS"".",1,,
731,cfb006e7-7f42-47b1-97aa-603fedf17b60,2026-07-12 19:20:53.411,deny,"Abstract digital album cover featuring vibrant blue, green, and red color bands interrupted by horizontal and diagonal glitch effects against a solid black background. The artwork consists of distorted geometric shapes and fragmented pixelated lines.",0,"The image quality is significantly low-resolution with heavy distortion (glitch effect), making it difficult to confidently identify specific details like exact color nuances or precise shape forms. While the general style (digital glitch art) is discernible, key visual elements lack clarity for a fully confident description per WCAG guidelines.","[""bad image quality"", ""ambiguous main visual element""]","Vibrant blue, green, and red color bands interrupted by horizontal and diagonal glitch effects against a solid black background.",0,"The image quality is significantly low-resolution with heavy distortion (glitch effect), making it difficult to confidently identify specific details like exact color nuances or precise shape forms. While the general style (digital glitch art) is discernible, key visual elements lack clarity for a fully confident description per WCAG guidelines.","[""ambiguous main visual element"", ""bad image quality""]"
643,2461c5f7-6a20-4a56-9a50-dbd2406dfd56,2026-07-11 17:25:06.94,deny,"Minimalist collage album cover with three distinct color-blocked photographic sections: green-toned urban scene (building, figure), blue-tinted tram, red-hued storefront. Text includes ""stereo"" top-left; bold ""the umbrellas""; and quoted ""fairweather friend"". Pastel color palette.",1,,,"Minimalist collage with 3 rectangular blocks of green-toned building, blue-tinted tram and red-hued storefront, on a pastel back.",1,,
732,fb1c2240-cf54-41d6-9e45-0dbc09ce3075,2026-07-12 19:25:59.909,deny,"Monochrome photograph featuring high-contrast black-and-white imagery with a grainy texture. Abstract blurred organic forms create an obscured facial feature-like composition, dominated by dark shadows and light areas against a solid black background.",0,"The image quality is extremely low-resolution with heavy pixelation and motion blur, making it impossible to confidently identify specific visual elements or determine if the forms represent any particular subject. The graininess appears intentional as artistic texture but prevents precise description of shapes, relationships between elements, or compositional details. Critical aspects for functional equivalence cannot be reliably discerned from visible features alone.","[""bad image quality"", ""ambiguous main visual element""]",Monochrome grainy close-up shot of a face with dark shadows and light areas against a dark background.,0,"The image quality is extremely low-resolution with heavy pixelation and motion blur, making it impossible to confidently identify specific visual elements or determine if the forms represent any particular subject. The graininess appears intentional as artistic texture but prevents precise description of shapes, relationships between elements, or compositional details. Critical aspects for functional equivalence cannot be reliably discerned from visible features alone.","[""ambiguous main visual element""]"
644,ef135efa-7e1e-451b-8da4-c1d7b224c0cc,2026-07-11 17:26:53.845,deny,"Album cover features large bold red and black typographic collage spelling ""DECIPHERING THE MESSAGE"" over a beige background; ""MAKAYA McCRAVEN"" in black text appears below with additional artist names at bottom left.",1,,,"Collage of texts on beige back with, large bold red black ""DECIPHERING THE MESSAGE"" and smaller black texts of different names.",1,,
733,56f5bc2a-08e5-4345-801a-8142ff352a3d,2026-07-12 19:29:15.573,deny,"Abstract album cover featuring a heavily blurred facial portrait in muted teal, brown, and black tones, overlaid with two diagonal metallic lines on a grainy textured background.",0,"Image quality is extremely low-resolution, making it impossible to confidently identify specific visual elements (e.g., whether the subject is a face or abstract shapes) or discern any text. Critical details are obscured by severe blur and pixelation.","[""bad image quality"", ""ambiguous main visual element""]","Heavily blurred facial portrait in muted teal, brown, and black tones, overlaid with two diagonal metallic lines.",0,"Image quality is extremely low-resolution, making it impossible to confidently identify specific visual elements (e.g., whether the subject is a face or abstract shapes) or discern any text. Critical details are obscured by severe blur and pixelation.","[""ambiguous main visual element""]"
734,27c75d78-8e8d-4b88-abd8-7eef898bb883,2026-07-12 19:30:13.477,deny,"Album artwork displayed on a laptop screen; light-beige textured collage with dark abstract shapes and partially legible ""LAMBCHOP"" typography.",0,"The image quality is low, making it unclear whether the text is fully readable or a guess (e.g., ""LAMBCHOP"" could be misinterpreted). Visual details like shape and color are discernible, but key textual elements lack sufficient clarity for confident identification.","[""bad image quality"", ""cannot read text confidently""]",Light-beige textured collage with dark abstract shapes displayed on a laptop screen in a dark setting.,0,"The image quality is low, making it unclear whether the text is fully readable or a guess (e.g., ""LAMBCHOP"" could be misinterpreted). Visual details like shape and color are discernible, but key textual elements lack sufficient clarity for confident identification.","[""ambiguous main visual element""]"
646,da573214-3e45-4044-8d35-a476df8dde96,2026-07-11 17:34:22.773,deny,"Landscape photograph showing green fields, white picket fence, and two gray silhouettes (tall tower-like figure being pushed by smaller person) under overcast sky. 'PRISON' appears top-left; 'UPSTATE' bottom-right in bold black letters.",1,,,Gray silhouette of tall tower-like figure being pushed by smaller person on a background of green fields and white fence.,1,,
125,087520b1-6de5-43ef-86b0-9cbcdd2991e5,2026-07-06 14:50:06.515,deny,"A shirtless person with short black hair sits in a light-colored bathtub, their face distorted by fragmented translucent overlays resembling cracked glass. The cover features a pale beige background and has a surreal, collaged artistic style.",1,,,Shirtless woman in a bathtub with their face distorted by cracked-glass overlay on a beige background.,1,,"[""unclear visual focus""]"
